Date,Price
2018-01-24,407.63
2018-01-25,401.91
2018-01-26,401.91
2018-01-27,401.91
2018-01-28,401.91
2018-01-29,402.45
2018-01-30,398.6
2018-01-31,398.56
2018-02-01,398.23
2018-02-02,388.53
2018-02-03,388.53
2018-02-04,388.53
2018-02-05,392.17
2018-02-06,371.36
2018-02-07,380.7
2018-02-08,375.93
2018-02-09,370.1
2018-02-10,370.1
2018-02-11,370.1
2018-02-12,372.75
2018-02-13,372.75
2018-02-14,376.19
2018-02-15,379.06
2018-02-16,372.75
2018-02-17,372.75
2018-02-18,372.75
2018-02-19,368.36
2018-02-20,368.87
2018-02-21,365.24
2018-02-22,359.42
2018-02-23,361.51
2018-02-24,361.51
2018-02-25,361.51
2018-02-26,370.38
2018-02-27,372.91
2018-02-28,370.48
2018-03-01,373.1
2018-03-02,373.1
2018-03-03,373.1
2018-03-04,373.1
2018-03-05,356.11
2018-03-06,352.13
2018-03-07,349.95
2018-03-08,344.99
2018-03-09,344.31
2018-03-10,344.31
2018-03-11,344.31
2018-03-12,347.02
2018-03-13,353.74
2018-03-14,352.08
2018-03-15,354.11
2018-03-16,342.61
2018-03-17,342.61
2018-03-18,342.61
2018-03-19,336.72
2018-03-20,338.06
2018-03-21,336.63
2018-03-22,338.0
2018-03-23,331.82
2018-03-24,331.82
2018-03-25,331.82
2018-03-26,328.75
2018-03-27,332.81
2018-03-28,329.45
2018-03-29,329.45
2018-03-30,329.45
2018-03-31,329.45
2018-04-01,329.45
2018-04-02,336.42
2018-04-03,342.11
2018-04-04,358.29
2018-04-05,366.9
2018-04-06,363.14
2018-04-07,363.14
2018-04-08,363.14
2018-04-09,361.3
2018-04-10,355.17
2018-04-11,354.01
2018-04-12,360.01
2018-04-13,357.29
2018-04-14,357.29
2018-04-15,357.29
2018-04-16,342.36
2018-04-17,337.47
2018-04-18,336.81
2018-04-19,334.57
2018-04-20,338.84
2018-04-21,338.84
2018-04-22,338.84
2018-04-23,336.0
2018-04-24,332.74
2018-04-25,330.35
2018-04-26,331.15
2018-04-27,334.51
2018-04-28,334.51
2018-04-29,334.51
2018-04-30,340.3
2018-05-01,340.3
2018-05-02,342.87
2018-05-03,332.0
2018-05-04,333.16
2018-05-05,333.16
2018-05-06,333.16
2018-05-07,335.37
2018-05-08,332.16
2018-05-09,341.7
2018-05-10,336.7
2018-05-11,331.68
2018-05-12,331.68
2018-05-13,331.68
2018-05-14,325.7
2018-05-15,314.99
2018-05-16,311.2
2018-05-17,315.25
2018-05-18,307.11
2018-05-19,307.11
2018-05-20,307.11
2018-05-21,299.21
2018-05-22,304.99
2018-05-23,312.24
2018-05-24,291.35
2018-05-25,293.25
2018-05-26,293.25
2018-05-27,293.25
2018-05-28,296.61
2018-05-29,297.75
2018-05-30,289.91
2018-05-31,284.1
2018-06-01,287.77
2018-06-02,287.77
2018-06-03,287.77
2018-06-04,289.54
2018-06-05,285.35
2018-06-06,292.06
2018-06-07,301.28
2018-06-08,311.33
2018-06-09,311.33
2018-06-10,311.33
2018-06-11,310.9
2018-06-12,310.51
2018-06-13,309.31
2018-06-14,305.76
2018-06-15,303.97
2018-06-16,303.97
2018-06-17,303.97
2018-06-18,307.93
2018-06-19,307.64
2018-06-20,305.96
2018-06-21,306.97
2018-06-22,306.75
2018-06-23,306.75
2018-06-24,306.75
2018-06-25,295.25
2018-06-26,279.88
2018-06-27,274.66
2018-06-28,266.95
2018-06-29,267.52
2018-06-30,267.52
2018-07-01,267.52
2018-07-02,269.57
