,SBIN,TATAMOTORS,BPCL,ADANIPORTS,HDFCBANK
2022-10-06,525.0764,434.63993,349.96652,915.85236,1419.1095
2022-10-07,525.21198,434.5927,349.86933,916.15006,1419.29364
2022-10-08,525.34758,434.54547,349.77214,916.44786,1419.47785
2022-10-09,525.48319,434.49824,349.67496,916.74576,1419.66213
2022-10-10,525.61882,434.45102,349.5778,917.04375,1419.84648
2022-10-11,525.75446,434.40379,349.48064,917.34185,1420.03089
2022-10-12,525.89012,434.35657,349.38349,917.64004,1420.21537
2022-10-13,526.0258,434.30936,349.28636,917.93833,1420.39992
2022-10-14,526.16149,434.26214,349.18923,918.23671,1420.58453
2022-10-15,526.2972,434.21493,349.09211,918.5352,1420.76922
2022-10-16,526.43292,434.16772,348.995,918.83378,1420.95397
2022-10-17,526.56866,434.12051,348.8979,919.13246,1421.13878
2022-10-18,526.70441,434.07331,348.80081,919.43123,1421.32366
2022-10-19,526.84018,434.02611,348.70373,919.73011,1421.50861
2022-10-20,526.97597,433.97891,348.60665,920.02908,1421.69363
2022-10-21,527.11177,433.93171,348.50959,920.32814,1421.87872
2022-10-22,527.24758,433.88452,348.41254,920.6273,1422.06387
2022-10-23,527.38342,433.83732,348.31549,920.92656,1422.24909
2022-10-24,527.51926,433.79014,348.21846,921.22592,1422.43437
2022-10-25,527.65513,433.74295,348.12144,921.52537,1422.61972
2022-10-26,527.79101,433.69576,348.02442,921.82492,1422.80514
2022-10-27,527.9269,433.64858,347.92741,922.12456,1422.99063
2022-10-28,528.06281,433.6014,347.83042,922.4243,1423.17618
2022-10-29,528.19874,433.55423,347.73343,922.72413,1423.3618
2022-10-30,528.33468,433.50705,347.63645,923.02406,1423.54749
2022-10-31,528.47064,433.45988,347.53948,923.32409,1423.73324
2022-11-01,528.60661,433.41271,347.44252,923.62421,1423.91906
2022-11-02,528.7426,433.36555,347.34557,923.92443,1424.10495
2022-11-03,528.8786,433.31838,347.24863,924.22474,1424.2909
2022-11-04,529.01462,433.27122,347.1517,924.52515,1424.47692
2022-11-05,529.15066,433.22406,347.05478,924.82565,1424.66301
2022-11-06,529.28671,433.17691,346.95787,925.12625,1424.84916
2022-11-07,529.42277,433.12975,346.86096,925.42694,1425.03539
2022-11-08,529.55885,433.0826,346.76407,925.72773,1425.22167
2022-11-09,529.69495,433.03545,346.66719,926.02861,1425.40803
2022-11-10,529.83106,432.98831,346.57031,926.32958,1425.59445
2022-11-11,529.96719,432.94116,346.47345,926.63065,1425.78093
2022-11-12,530.10334,432.89402,346.37659,926.93181,1425.96749
2022-11-13,530.2395,432.84688,346.27974,927.23307,1426.15411
2022-11-14,530.37567,432.79975,346.18291,927.53442,1426.34079
2022-11-15,530.51186,432.75261,346.08608,927.83587,1426.52754
2022-11-16,530.64807,432.70548,345.98926,928.13741,1426.71436
2022-11-17,530.78429,432.65835,345.89245,928.43904,1426.90125
2022-11-18,530.92053,432.61123,345.79565,928.74077,1427.0882
2022-11-19,531.05678,432.56411,345.69886,929.04259,1427.27522
2022-11-20,531.19305,432.51698,345.60208,929.3445,1427.4623
2022-11-21,531.32933,432.46987,345.50531,929.64651,1427.64946
2022-11-22,531.46563,432.42275,345.40854,929.94861,1427.83667
2022-11-23,531.60194,432.37564,345.31179,930.2508,1428.02396
2022-11-24,531.73827,432.32853,345.21505,930.55308,1428.21131
2022-11-25,531.87462,432.28142,345.11831,930.85546,1428.39872
2022-11-26,532.01098,432.23431,345.02159,931.15793,1428.5862
2022-11-27,532.14736,432.18721,344.92487,931.46049,1428.77375
2022-11-28,532.28375,432.14011,344.82817,931.76315,1428.96137
2022-11-29,532.42015,432.09301,344.73147,932.0659,1429.14905
2022-11-30,532.55658,432.04592,344.63478,932.36874,1429.3368
2022-12-01,532.69302,431.99882,344.5381,932.67167,1429.52461
2022-12-02,532.82947,431.95173,344.44143,932.97469,1429.71249
2022-12-03,532.96594,431.90464,344.34478,933.27781,1429.90043
2022-12-04,533.10242,431.85756,344.24813,933.58101,1430.08844
2022-12-05,533.23892,431.81048,344.15148,933.88431,1430.27652
2022-12-06,533.37544,431.7634,344.05485,934.1877,1430.46466
2022-12-07,533.51197,431.71632,343.95823,934.49118,1430.65287
2022-12-08,533.64851,431.66924,343.86162,934.79476,1430.84115
2022-12-09,533.78507,431.62217,343.76501,935.09842,1431.02949
2022-12-10,533.92165,431.5751,343.66842,935.40218,1431.2179
2022-12-11,534.05824,431.52803,343.57184,935.70602,1431.40637
2022-12-12,534.19485,431.48097,343.47526,936.00996,1431.59491
2022-12-13,534.33147,431.43391,343.37869,936.31399,1431.78351
2022-12-14,534.46811,431.38685,343.28214,936.61811,1431.97218
2022-12-15,534.60477,431.33979,343.18559,936.92232,1432.16092
2022-12-16,534.74143,431.29273,343.08905,937.22661,1432.34972
2022-12-17,534.87812,431.24568,342.99252,937.531,1432.53859
2022-12-18,535.01482,431.19863,342.896,937.83548,1432.72752
2022-12-19,535.15153,431.15158,342.79949,938.14005,1432.91652
